;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
91;Larry Nance Jr.NO;PF;65;21.2;6.8;2.9;4.7;61.0;0.2;0.6;33.3;0.8;1.2;69.6;5.4;1.8;0.9;0.6;0.6;3;0
92;Torrey CraigPHX;SF;79;24.7;7.4;2.9;6.3;45.6;1.3;3.2;39.5;0.4;0.6;71.1;5.4;1.5;0.6;0.8;0.9;4;0
93;Tyler HerroMIA;PG;67;34.9;20.1;7.3;16.6;43.9;3.0;8.0;37.8;2.5;2.7;93.4;5.4;4.2;0.8;0.2;2.4;6;1
94;Drew EubanksPOR;PF;78;20.3;6.6;2.7;4.3;64.1;0.1;0.2;38.9;1.1;1.6;66.4;5.4;1.3;0.5;1.3;0.9;3;0
95;Kyle AndersonMIN;SF;69;28.4;9.4;3.7;7.2;50.9;0.6;1.5;41.0;1.4;2.0;73.5;5.3;4.9;1.1;0.9;1.5;10;3
96;Kevin Porter Jr.HOU;SG;59;34.3;19.2;6.6;15.0;44.2;2.4;6.5;36.6;3.5;4.5;78.4;5.3;5.7;1.4;0.3;3.2;9;1
-;Jeremy SochanSA;F;56;26.0;11.0;4.5;9.9;45.3;0.6;2.4;24.6;1.4;2.1;69.8;5.3;2.5;0.8;0.4;1.7;2;0
98;Dejounte MurrayATL;SG;74;36.4;20.5;8.3;17.8;46.4;1.8;5.2;34.4;2.1;2.6;83.2;5.3;6.1;1.5;0.3;2.2;8;1
-;Kelly Oubre Jr.CHA;SG;48;32.3;20.3;7.4;17.1;43.1;2.3;7.1;31.9;3.3;4.3;76.0;5.2;1.1;1.4;0.4;1.3;3;0
-;DeAndre JordanDEN;C;39;15.0;5.1;2.3;2.9;76.5;0.0;0.0;100.0;0.6;1.2;45.8;5.2;0.9;0.3;0.6;1.2;2;0
101;Jrue HolidayMIL;PG;67;32.6;19.3;7.3;15.3;47.9;2.4;6.1;38.4;2.3;2.6;85.9;5.1;7.4;1.2;0.4;2.9;16;0
102;Kyrie IrvingBKN/DAL;PG;60;37.4;27.1;9.9;20.1;49.4;3.1;8.3;37.9;4.1;4.6;90.5;5.1;5.5;1.1;0.8;2.1;5;0
103;Royce O'NealeBKN;PF;76;31.7;8.8;3.0;7.8;38.6;2.1;5.5;38.9;0.7;0.9;72.5;5.1;3.7;0.9;0.6;1.5;4;1
104;Keldon JohnsonSA;SF;63;32.7;22.0;8.0;17.7;45.2;2.1;6.5;32.9;3.9;5.2;74.9;5.0;2.9;0.7;0.2;2.1;5;0
105;RJ BarrettNY;SG;73;33.9;19.6;7.0;16.1;43.4;1.7;5.3;31.0;4.0;5.4;74.0;5.0;2.8;0.4;0.2;2.2;3;0
106;Xavier TillmanMEM;F;61;19.3;7.0;3.1;5.0;61.4;0.1;0.2;26.7;0.8;1.5;55.1;5.0;1.6;1.0;0.5;0.7;4;0
-;Andrew WigginsGS;SF;37;32.2;17.1;6.8;14.3;47.3;2.4;6.1;39.6;1.2;1.9;61.1;5.0;2.3;1.2;0.8;1.3;3;0
108;Desmond BaneMEM;SG;58;31.7;21.5;7.8;16.2;47.9;2.9;7.0;40.8;3.1;3.5;88.3;5.0;4.4;1.0;0.4;2.2;1;0
109;Buddy HieldIND;SG;80;31.0;16.8;5.9;13.0;45.8;3.6;8.5;42.5;1.3;1.6;82.2;5.0;2.8;1.2;0.3;1.7;3;0
-;Justise WinslowPOR;PF;29;26.8;6.8;2.8;6.8;40.9;0.5;1.6;31.1;0.7;1.0;71.4;5.0;3.4;1.0;0.4;1.5;1;0
-;Mac McClungPHI;SG;2;20.5;12.5;4.5;10.0;45.0;2.0;5.5;36.4;1.5;2.5;60.0;5.0;4.5;0.0;0.0;1.5;0;0
112;O.G. AnunobyTOR;SF;67;35.6;16.8;6.3;13.2;47.6;2.1;5.5;38.7;2.1;2.5;83.8;5.0;2.0;1.9;0.7;2.0;2;0
-;Jaylin WilliamsOKC;F;49;18.7;5.9;2.1;4.8;43.6;0.9;2.3;40.7;0.8;1.1;70.4;4.9;1.6;0.6;0.2;0.8;0;0
-;Kenrich WilliamsOKC;SF;53;22.8;8.0;3.4;6.5;51.7;0.9;2.5;37.3;0.3;0.7;43.6;4.9;2.0;0.8;0.3;0.6;1;0
115;P.J. WashingtonCHA;PF;73;32.6;15.7;5.9;13.4;44.4;2.0;5.9;34.8;1.7;2.4;73.0;4.9;2.4;0.9;1.1;1.5;3;0
116;Naz ReidMIN;C;68;18.4;11.5;4.6;8.5;53.7;1.1;3.2;34.6;1.3;1.9;67.7;4.9;1.1;0.6;0.8;1.4;4;0
117;Caleb MartinMIA;SF;71;29.3;9.6;3.6;7.7;46.3;1.2;3.3;35.6;1.3;1.6;80.5;4.8;1.6;1.0;0.4;1.1;2;0
118;Shai Gilgeous-AlexanderOKC;PG;68;35.5;31.4;10.4;20.3;51.0;0.9;2.5;34.5;9.8;10.9;90.5;4.8;5.5;1.6;1.0;2.8;3;0
119;Santi AldamaMEM;PF;77;21.8;9.0;3.2;6.8;47.0;1.2;3.5;35.3;1.4;1.9;75.0;4.8;1.3;0.6;0.6;0.8;4;0
120;Cole AnthonyORL;PG;60;25.9;13.0;4.6;10.2;45.4;1.3;3.4;36.4;2.5;2.8;89.4;4.8;3.9;0.6;0.5;1.5;1;0
121;Dorian Finney-SmithDAL/BKN;PF;66;30.4;8.3;3.0;7.6;39.1;1.7;5.1;33.7;0.7;0.9;76.3;4.8;1.5;0.8;0.5;0.9;2;0
